,accuracy,precision,recall,f1,roc_auc,threshold
xgboost,0.9264822134387352,0.9316596931659693,0.9382022471910112,0.9349195241427571,0.9784500274295467,
random_forest,0.9272727272727272,0.9223433242506812,0.9508426966292135,0.9363762102351314,0.9771522035069183,
logistic_regression,0.7146245059288537,0.7503566333808844,0.7387640449438202,0.7445152158527955,0.7954466952475772,
gradient_boosting,0.88300395256917,0.8740053050397878,0.925561797752809,0.8990450204638472,0.954992685454213,
soft_voting_ensemble,0.9146245059288538,0.9103260869565217,0.9410112359550562,0.925414364640884,0.969375419062519,
soft_voting_ensemble_tuned,0.9209486166007905,0.9285714285714286,0.9311797752808989,0.9298737727910238,,0.5400000000000001
