fpr,tpr
0.0,0.0
0.0,0.01544943820224719
0.0,0.046348314606741575
0.0,0.06460674157303371
0.0,0.09410112359550561
0.0,0.12780898876404495
0.0,0.1601123595505618
0.0,0.19662921348314608
0.0,0.21769662921348315
0.0,0.25140449438202245
0.0,0.27808988764044945
0.0,0.29213483146067415
0.0,0.31179775280898875
0.0,0.34269662921348315
0.0,0.3595505617977528
0.0,0.3792134831460674
0.0,0.39325842696629215
0.0,0.40308988764044945
0.0,0.41151685393258425
0.0,0.41713483146067415
0.0,0.4241573033707865
0.0,0.43679775280898875
0.0,0.44662921348314605
0.0,0.449438202247191
0.0,0.45646067415730335
0.0,0.46207865168539325
0.0,0.4705056179775281
0.0,0.476123595505618
0.0,0.48735955056179775
0.0,0.4957865168539326
0.0,0.5
0.0,0.5056179775280899
0.0,0.5140449438202247
0.0,0.5210674157303371
0.0,0.5252808988764045
0.0,0.5308988764044944
0.0,0.5351123595505618
0.0,0.5407303370786517
0.0,0.550561797752809
0.0,0.5589887640449438
0.0,0.5617977528089888
0.0,0.5702247191011236
0.0,0.5842696629213483
0.0018083182640144665,0.5912921348314607
0.0018083182640144665,0.5926966292134831
0.0018083182640144665,0.598314606741573
0.0018083182640144665,0.5997191011235955
0.0018083182640144665,0.6095505617977528
0.0018083182640144665,0.6123595505617978
0.0018083182640144665,0.6193820224719101
0.0018083182640144665,0.6221910112359551
0.0018083182640144665,0.6235955056179775
0.003616636528028933,0.6264044943820225
0.003616636528028933,0.6334269662921348
0.003616636528028933,0.6348314606741573
0.003616636528028933,0.6418539325842697
0.003616636528028933,0.6446629213483146
0.0054249547920434,0.648876404494382
0.0054249547920434,0.6573033707865169
0.0054249547920434,0.6643258426966292
0.0054249547920434,0.6657303370786517
0.007233273056057866,0.6685393258426966
0.007233273056057866,0.6741573033707865
0.007233273056057866,0.6783707865168539
0.007233273056057866,0.6839887640449438
0.007233273056057866,0.6882022471910112
0.007233273056057866,0.6910112359550562
0.007233273056057866,0.6924157303370787
0.007233273056057866,0.6966292134831461
0.009041591320072333,0.702247191011236
0.009041591320072333,0.7064606741573034
0.009041591320072333,0.7092696629213483
0.009041591320072333,0.7106741573033708
0.009041591320072333,0.7148876404494382
0.009041591320072333,0.7205056179775281
